"";"ASSETID";"PERIOD";"PRICE";"UNITPRICE";"CONSTRUCTEDAREA";"ROOMNUMBER";"BATHNUMBER";"HASTERRACE";"HASLIFT";"HASAIRCONDITIONING";"AMENITYID";"HASPARKINGSPACE";"ISPARKINGSPACEINCLUDEDINPRICE";"PARKINGSPACEPRICE";"HASNORTHORIENTATION";"HASSOUTHORIENTATION";"HASEASTORIENTATION";"HASWESTORIENTATION";"HASBOXROOM";"HASWARDROBE";"HASSWIMMINGPOOL";"HASDOORMAN";"HASGARDEN";"ISDUPLEX";"ISSTUDIO";"ISINTOPFLOOR";"CONSTRUCTIONYEAR";"FLOORCLEAN";"FLATLOCATIONID";"CADCONSTRUCTIONYEAR";"CADMAXBUILDINGFLOOR";"CADDWELLINGCOUNT";"CADASTRALQUALITYID";"BUILTTYPEID_1";"BUILTTYPEID_2";"BUILTTYPEID_3";"DISTANCE_TO_CITY_CENTER";"DISTANCE_TO_METRO";"DISTANCE_TO_DIAGONAL";"LONGITUDE";"LATITUDE";"CUSEC";"CUMUN";"CSEC";"CDIS";"CMUN";"CPRO";"CCA";"CUDIS";"CLAU2";"NPRO";"NCA";"CNUT0";"CNUT1";"CNUT2";"CNUT3";"NMUN";"Shape_Leng";"Shape_Area";"geometry";"Renta.media.por.persona";"Renta.media.por.hogar"
"35864";"A3029310523855916053";201812;226000;3138,88888888889;72;3;2;0;0;0;2;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1915;1;NA;1915;4;6;4;0;0;1;5,35275130432502;1,18092706566154;2,50616444240566;2,1127824173238;41,4085904642583;"0801905004";"08019";"004";"05";"019";"08";"09";"0801905";"08019";"Barcelona";"Cataluña";"ES";"5";"1";"1";"Barcelona";4017,47323731;725053,688236;c(927398.000003077, 4596746.99988434);29364;89015
"35865";"A12453688252318847286";201812;419000;6546,875;64;1;1;0;1;1;2;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;2011;1;1;2011;2;2;2;0;0;1;4,08719647599685;0,175167145323005;1,11615309860516;2,12337147509195;41,3980347289031;"0801905011";"08019";"011";"05";"019";"08";"09";"0801905";"08019";"Barcelona";"Cataluña";"ES";"5";"1";"1";"Barcelona";811,401384596;39997,1094458;c(928353.000003084, 4595626.99988435);21290;52652
"35866";"A16098340670124104027";201812;606000;5611,11111111111;108;4;2;1;1;1;3;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1976;2;1;1976;6;15;3;0;1;0;4,10121783423016;0,356960271317681;0,968011274850064;2,12256025269899;41,3963873650881;"0801905013";"08019";"013";"05";"019";"08";"09";"0801905";"08019";"Barcelona";"Cataluña";"ES";"5";"1";"1";"Barcelona";926,132676011;36694,8213766;c(928296.000003082, 4595439.99988435);22066;55099
"35867";"A10428200381400412362";201812;229000;6939,39393939394;33;1;1;0;0;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1970;3;1;1970;3;4;3;0;0;1;4,24393786524573;0,239888846271837;1,09974729572286;2,12109662881102;41,3972359573669;"0801905010";"08019";"010";"05";"019";"08";"09";"0801905";"08019";"Barcelona";"Cataluña";"ES";"5";"1";"1";"Barcelona";860,194604471;41888,4431831;c(928168.000003082, 4595526.99988435);19910;54149
"35869";"A7776825427905334698";201812;745000;4138,88888888889;180;5;3;0;1;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;NA;4;NA;1969;9;19;2;0;1;0;3,25738616360674;0,115955756751131;1,37938284117269;2,13884274732855;41,4045364129319;"0801905038";"08019";"038";"05";"019";"08";"09";"0801905";"08019";"Barcelona";"Cataluña";"ES";"5";"1";"1";"Barcelona";990,73239509;34083,0953911;c(929604.000003094, 4596425.99988433);20766;47039
"35870";"A14819354507710631014";201812;851000;4111,11111111111;207;5;3;0;1;0;3;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;1965;1;NA;1965;10;11;4;0;0;1;3,25263191212504;0,406810382399745;1,22808117942174;2,13692452985974;41,4023535259518;"0801905042";"08019";"042";"05";"019";"08";"09";"0801905";"08019";"Barcelona";"Cataluña";"ES";"5";"1";"1";"Barcelona";799,968146134;29032,1266504;c(929458.000003091, 4596173.99988434);20021;47608
"35871";"A16062263643095257653";201812;563000;5630;100;3;2;0;1;1;3;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;1956;5;1;1956;6;12;2;0;0;1;3,60904886643531;0,585703312266813;1,43840452026155;2,13287968748741;41,4035248575481;"0801905046";"08019";"046";"05";"019";"08";"09";"0801905";"08019";"Barcelona";"Cataluña";"ES";"5";"1";"1";"Barcelona";970,29453561;53354,4992313;c(929112.000003089, 4596283.99988434);29364;80516
"35873";"A1127776948429805175";201812;1888000;6601,3986013986;286;3;3;1;1;1;3;1;1;1;0;0;0;0;1;0;1;0;0;0;0;0;2018;NA;1;2018;10;16;3;0;0;1;3,33600325739722;0,311631316010849;1,35269572285598;2,13676852567679;41,4035579168004;"0801905042";"08019";"042";"05";"019";"08";"09";"0801905";"08019";"Barcelona";"Cataluña";"ES";"5";"1";"1";"Barcelona";799,968146134;29032,1266504;c(929437.000003092, 4596306.99988434);20021;47608
"35874";"A411590669171784487";201812;1138000;5524,27184466019;206;5;4;1;1;1;3;1;1;1;0;0;1;0;0;1;0;1;0;0;0;0;1980;1;1;1980;9;13;4;0;0;1;3,851629513681;0,669388451559397;1,70513331732953;2,131231281269;41,4056692845227;"0801905031";"08019";"031";"05";"019";"08";"09";"0801905";"08019";"Barcelona";"Cataluña";"ES";"5";"1";"1";"Barcelona";2351,39502613;238257,429512;c(928960.000003088, 4596513.99988434);29364;89015
"35875";"A4561228673859923539";201812;652000;4075;160;5;3;0;0;1;3;0;0;1;0;0;1;0;0;1;0;0;0;1;0;0;1904;2;1;1904;7;43;2;0;1;0;3,56348474702286;0,300043094516481;1,62993718812231;2,13566509476086;41,4059390986831;"0801905040";"08019";"040";"05";"019";"08";"09";"0801905";"08019";"Barcelona";"Cataluña";"ES";"5";"1";"1";"Barcelona";1005,36617256;38587,6415897;c(929329.000003091, 4596565.99988434);18693;45181
"35876";"A8305467252851267093";201812;811000;5300,65359477124;153;4;2;0;1;1;2;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;1948;2;1;1948;8;14;3;0;0;1;3,611757560198;0,277791014323275;1,76911122246824;2,13674744366416;41,4076822634204;"0801905037";"08019";"037";"05";"019";"08";"09";"0801905";"08019";"Barcelona";"Cataluña";"ES";"5";"1";"1";"Barcelona";935,916932018;30342,0073862;c(929408.000003092, 4596764.99988433);21708;55064
